Estimated_Claim_Amount,Fraud_Flag,Litigation_Flag,Age_of_Driver,Vehicle_Age,Annual_Mileage,Driving_Experience_Years,Accident_Settlement_days,days_to_fnol,driver_risk_score,vehicle_risk,Claim_Type,Claim_Complexity,Region,Vehicle_Type,Status,Severity_Band,Gender,Occupation,ThirdParty_Role,TP_Injury_Severity
7384,0,0,72,19,8178,54,167,0,0,1,Vandalism,Medium,London,Sedan,settled,Major,Female,Retired,Unknown,No Injury
3188,0,0,63,12,13561,43,89,3,0,1,Weather,Low,Leeds,Coupe,settled,Minor,Male,Self-Employed,Unknown,No Injury
2829,0,0,18,9,16356,0,90,1,2,0,Weather,Low,Manchester,Coupe,settled,Minor,Male,Student,Unknown,No Injury
2369,0,0,36,12,9900,16,53,2,0,1,Collision,Low,Bristol,Coupe,settled,Minor,Male,Unemployed,Unknown,No Injury
1431,0,0,28,11,9890,8,67,2,0,1,Collision,Low,Newcastle,Motorcycle,settled,Minor,Female,Student,Unknown,No Injury
1808,0,0,39,4,20217,19,61,0,0,0,Vandalism,Low,Glasgow,Sedan,settled,Minor,Female,Employed,Pedestrian,Minor
2015,0,0,78,15,22093,59,76,4,0,1,Collision,Low,Edinburgh,Motorcycle,settled,Minor,Male,Retired,Unknown,No Injury
2610,0,0,18,3,14164,0,58,1,2,0,Collision,Low,Glasgow,Sedan,settled,Minor,Female,Student,Unknown,No Injury
2748,1,0,74,15,8361,55,77,0,0,1,Other,Low,Bristol,SUV,settled,Minor,Male,Unemployed,Unknown,No Injury
39622,0,0,56,11,9272,37,111,4,0,1,Collision,Medium,Manchester,Sedan,settled,Severe,Female,Self-Employed,Passenger,Minor
16662,0,0,26,9,11311,4,57,2,1,0,Fire,Low,Bristol,Sedan,settled,Minor,Female,Self-Employed,Unknown,No Injury
11132,0,1,77,10,12568,58,63,0,0,0,Collision,Low,Liverpool,Sedan,settled,Major,Female,Unemployed,Unknown,No Injury
1607,0,1,27,11,13458,8,37,1,0,1,Collision,Low,Leeds,SUV,settled,Minor,Male,Self-Employed,Unknown,No Injury
8417,0,0,43,16,18512,21,40,4,0,1,Weather,Low,Newcastle,Hatchback,settled,Moderate,Male,Employed,Pedestrian,Minor
2467,0,1,52,9,13437,30,70,4,0,0,Collision,Low,Birmingham,Coupe,settled,Minor,Female,Retired,Unknown,No Injury
4428,0,0,35,2,12050,13,68,0,0,0,Collision,Low,London,SUV,settled,Moderate,Male,Self-Employed,Passenger,Minor
1626,0,1,52,7,14506,30,65,0,0,0,Vandalism,Low,Leeds,Sedan,settled,Minor,Male,Employed,Unknown,No Injury
1750,0,0,44,2,8303,25,75,0,0,0,Collision,Low,Birmingham,Hatchback,settled,Minor,Male,Employed,Pedestrian,Minor
1217,0,0,29,20,15748,10,51,1,0,1,Collision,Low,Cardiff,Van,settled,Minor,Female,Unemployed,Unknown,No Injury
2708,0,0,21,16,9449,0,88,0,2,1,Weather,Low,Leeds,Hatchback,settled,Minor,Female,Student,Pedestrian,Minor
2361,0,0,70,8,13952,48,83,0,0,0,Collision,Low,Manchester,Sedan,settled,Minor,Female,Unemployed,Driver,Minor
3798,0,0,56,12,11383,37,88,2,0,1,Collision,Low,Edinburgh,Sedan,settled,Moderate,Female,Unemployed,Unknown,No Injury
3378,0,1,41,11,12076,19,43,0,0,1,Collision,Low,Leeds,Van,settled,Moderate,Female,Employed,Unknown,No Injury
2795,0,1,71,15,9730,52,39,4,0,1,Collision,Low,London,Hatchback,settled,Minor,Male,Retired,Unknown,No Injury
13294,0,0,52,0,15472,33,47,0,0,0,Collision,Low,Manchester,SUV,settled,Major,Female,Unemployed,Unknown,No Injury
15666,0,0,41,8,9935,20,279,0,0,0,Weather,High,Glasgow,Hatchback,settled,Major,Male,Employed,Pedestrian,Minor
55950,0,0,28,15,10098,10,94,3,0,1,Weather,Low,Glasgow,Sedan,settled,Severe,Male,Self-Employed,Passenger,Minor
47029,0,0,63,0,8840,41,103,3,0,0,Collision,Low,Leeds,Sedan,settled,Severe,Male,Self-Employed,Unknown,No Injury
5670,0,0,78,14,15929,60,39,1,0,1,Theft,Low,Glasgow,Hatchback,settled,Minor,Male,Retired,Unknown,No Injury
1310,0,0,27,3,6053,6,78,2,0,0,Collision,Low,Birmingham,Coupe,settled,Minor,Male,Employed,Driver,Minor
14002,0,1,27,12,12558,9,351,4,0,1,Collision,High,Cardiff,Hatchback,settled,Major,Female,Self-Employed,Unknown,No Injury
1466,0,0,56,17,15235,34,33,1,0,1,Collision,Low,Cardiff,Sedan,settled,Minor,Female,Self-Employed,Unknown,No Injury
15312,0,0,60,12,12455,41,81,0,0,1,Collision,Low,Newcastle,Hatchback,settled,Major,Male,Employed,Pedestrian,Serious
2130,1,0,23,1,17160,5,57,5,1,0,Collision,Low,Newcastle,Hatchback,settled,Minor,Male,Employed,Driver,Minor
5658,0,0,23,4,14109,5,136,0,1,0,Collision,Medium,Birmingham,Sedan,settled,Moderate,Male,Employed,Driver,Minor
3886,0,0,49,6,12622,31,63,5,0,0,Theft,Low,Edinburgh,Hatchback,settled,Minor,Male,Employed,Passenger,Minor
15666,0,0,41,8,9935,20,279,0,0,0,Weather,High,Glasgow,Hatchback,settled,Major,Male,Employed,Passenger,Serious
50119,0,0,46,7,13894,28,188,2,0,0,Collision,High,Bristol,SUV,settled,Severe,Female,Unemployed,Unknown,No Injury
2759,0,0,33,20,11665,12,56,7,0,1,Other,Low,Glasgow,Van,settled,Minor,Male,Employed,Unknown,No Injury
2992,0,0,31,19,17485,13,133,0,0,1,Theft,Medium,Leeds,Hatchback,settled,Minor,Female,Employed,Unknown,No Injury
1165,0,0,67,6,11011,49,74,0,0,0,Vandalism,Low,London,Coupe,settled,Minor,Female,Retired,Unknown,No Injury
2478,0,0,29,11,5831,11,103,1,0,1,Weather,Medium,Glasgow,Van,settled,Minor,Female,Student,Driver,Minor
2401,0,0,70,15,7742,52,69,0,0,1,Collision,Low,Glasgow,Coupe,settled,Minor,Female,Self-Employed,Unknown,No Injury
19911,0,0,71,12,17786,52,-1444,1,0,1,Vandalism,Low,Glasgow,Sedan,open,Severe,Female,Retired,Passenger,Minor
6970,0,0,19,9,11343,0,94,1,2,0,Weather,Low,Bristol,Sedan,settled,Moderate,Male,Student,Unknown,No Injury
5847,0,0,60,7,14173,39,-448,0,0,0,Theft,Low,Leeds,Van,open,Minor,Female,Employed,Pedestrian,Minor
12593,0,0,38,1,8610,20,83,3,0,0,Theft,Low,London,Van,settled,Moderate,Male,Employed,Unknown,No Injury
41458,0,0,64,18,10240,45,402,1,0,1,Collision,High,Edinburgh,Sedan,settled,Severe,Male,Employed,Pedestrian,Minor
9434,0,0,24,2,8099,4,107,3,2,0,Collision,Low,Glasgow,Hatchback,settled,Major,Male,Employed,Unknown,No Injury
6177,0,0,27,11,14693,7,442,3,0,1,Theft,High,Cardiff,Hatchback,settled,Minor,Female,Employed,Unknown,No Injury
9051,0,0,51,6,13379,32,157,2,0,0,Vandalism,High,Newcastle,Hatchback,settled,Major,Male,Employed,Unknown,No Injury
16124,0,0,59,13,14903,41,84,4,0,1,Theft,Low,Edinburgh,Hatchback,settled,Moderate,Male,Self-Employed,Unknown,No Injury
17127,0,0,45,18,11655,23,244,6,0,1,Theft,High,Newcastle,Motorcycle,settled,Major,Female,Employed,Unknown,No Injury
1230,0,0,73,0,16104,52,51,2,0,0,Collision,Low,Manchester,Sedan,settled,Minor,Male,Employed,Unknown,No Injury
1805,0,0,47,19,2125,27,85,2,0,1,Collision,Low,Bristol,Coupe,settled,Minor,Female,Employed,Pedestrian,Minor
6850,0,0,51,8,15788,31,98,0,0,0,Collision,Low,Newcastle,Sedan,settled,Moderate,Female,Retired,Unknown,No Injury
4204,0,0,27,8,14191,6,81,0,0,0,Collision,Low,Glasgow,Coupe,settled,Moderate,Male,Employed,Unknown,No Injury
